[1680899840500, [-0.371, 8.136, 5.677], [-0.001295, -0.000926, 0.011364]]
[1680899840520, [-0.387, 8.134, 5.664], [-0.000565, -0.002569, 0.010879]]
[1680899840540, [-0.369, 8.154, 5.695], [-0.001341, -0.001961, 0.011939]]
[1680899840560, [-0.388, 8.118, 5.721], [-0.001997, -0.002616, 0.011765]]
[1680899840580, [-0.393, 8.149, 5.685], [0.001185, -0.00062, 0.010612]]
[1680899840600, [-0.363, 8.136, 5.694], [-0.002676, -0.002342, 0.012913]]
[1680899840640, [-0.381, 8.154, 5.657], [-6.3e-05, -0.003244, 0.011535]]
[1680899840660, [-0.361, 8.117, 5.727], [0.000734, -0.002498, 0.011484]]
[1680899840680, [-0.375, 8.137, 5.704], [-0.00014, -0.003467, 0.012655]]
[1680899840700, [-0.403, 8.146, 5.665], [0.000343, -6.6e-05, 0.010241]]
[1680899840720, [-0.366, 8.129, 5.663], [-0.001837, -0.003205, 0.011398]]
[1680899840760, [-0.391, 8.152, 5.686], [-0.001346, -0.002497, 0.012078]]
[1680899840780, [-0.376, 8.144, 5.702], [-0.000263, -0.003196, 0.01062]]
[1680899840800, [-0.396, 8.148, 5.653], [-0.001315, -0.002966, 0.01299]]
[1680899840820, [-0.374, 8.162, 5.65], [-0.001218, -0.002149, 0.011892]]
[1680899840840, [-0.382, 8.148, 5.697], [-0.0017, -0.002871, 0.013156]]
[1680899840860, [-0.37, 8.135, 5.691], [-0.000515, -0.002241, 0.012479]]
[1680899840880, [-0.378, 8.146, 5.685], [-0.000247, -0.002702, 0.0106]]
[1680899840900, [-0.388, 8.118, 5.694], [0.001045, -0.001561, 0.012353]]
[1680899840920, [-0.37, 8.152, 5.717], [-0.001353, -0.00318, 0.010414]]
[1680899840940, [-0.383, 8.133, 5.657], [-0.000151, -0.002324, 0.012509]]
[1680899840960, [-0.384, 8.156, 5.665], [0.001282, -0.002957, 0.012314]]
[1680899840980, [-0.372, 8.153, 5.708], [-0.001651, -0.003073, 0.012108]]
[1680899841000, [-0.377, 8.144, 5.637], [-0.00234, -0.001407, 0.010535]]
[1680899841020, [-0.373, 8.155, 5.689], [0.000497, -0.0024, 0.012363]]
[1680899841040, [-0.387, 8.128, 5.675], [-0.001871, -0.002504, 0.0128]]
[1680899841060, [-0.36, 8.141, 5.73], [0.001371, -0.001543, 0.011499]]
[1680899841080, [-0.388, 8.143, 5.727], [-0.002199, -0.001608, 0.012058]]
[1680899841100, [-0.383, 8.149, 5.639], [-0.000536, -0.001787, 0.010661]]
[1680899841120, [-0.356, 8.128, 5.657], [-0.000445, -0.001218, 0.011436]]
[1680899841140, [-0.394, 8.143, 5.674], [-0.002185, -0.004178, 0.01218]]
[1680899841160, [-0.369, 8.165, 5.703], [0.000209, -0.002557, 0.01179]]
[1680899841180, [-0.379, 8.142, 5.681], [-0.00258, -0.002731, 0.01219]]
[1680899841200, [-0.37, 8.146, 5.662], [-0.00115, -0.002597, 0.013219]]
[1680899841220, [-0.375, 8.157, 5.677], [-0.002831, -0.001647, 0.011737]]
[1680899841240, [-0.395, 8.155, 5.645], [-0.001869, -0.002851, 0.011251]]
[1680899841260, [-0.383, 8.152, 5.682], [-0.000909, -0.002815, 0.012633]]
[1680899841280, [-0.371, 8.143, 5.677], [-0.00244, -0.003356, 0.010784]]
[1680899841300, [-0.407, 8.142, 5.699], [0.00026, -0.000935, 0.010665]]
[1680899841320, [-0.354, 8.152, 5.722], [-0.001565, -0.001976, 0.012856]]
[1680899841340, [-0.357, 8.122, 5.707], [0.001416, -0.001078, 0.011764]]
[1680899841360, [-0.368, 8.165, 5.702], [-0.000364, -0.002158, 0.012062]]
[1680899841380, [-0.402, 8.137, 5.705], [0.001027, -0.001991, 0.01216]]
[1680899841400, [-0.393, 8.136, 5.697], [0.000195, -0.001635, 0.011995]]
[1680899841420, [-0.389, 8.158, 5.681], [-0.001693, -0.001637, 0.012737]]
[1680899841440, [-0.367, 8.143, 5.702], [0.000293, -0.001467, 0.011268]]
[1680899841460, [-0.389, 8.166, 5.671], [-0.000907, -0.002786, 0.01261]]
[1680899841480, [-0.378, 8.138, 5.67], [0.000203, -0.001706, 0.011865]]
[1680899841500, [-0.374, 8.148, 5.676], [-0.000809, -0.003306, 0.011151]]
[1680899841520, [-0.399, 8.145, 5.656], [-0.003733, -0.002736, 0.013208]]
[1680899841540, [-0.387, 8.18, 5.732], [0.000858, -0.001239, 0.0114]]
[1680899841560, [-0.372, 8.145, 5.722], [-0.00077, -0.002296, 0.012995]]
[1680899841580, [-0.376, 8.149, 5.667], [-0.000479, -0.00127, 0.010601]]
